"Espèce de référence";"Nom(s) cité(s) ";"Règne";
"Abdera affinis (Paykull, 1799)";"Abdera affinis (Paykull, 1799)";Animalia;
"Abdera biflexuosa (Curtis, 1829)";"Abdera biflexuosa (Curtis, 1829)";Animalia;
"Abdera flexuosa (Paykull, 1799)";"Abdera flexuosa (Paykull, 1799)";Animalia;
"Abdera quadrifasciata (Curtis, 1829)";"Abdera quadrifasciata (Curtis, 1829)";Animalia;
"Abraeus granulum Erichson, 1839";"Abraeus granulum Erichson, 1839";Animalia;
"Abraeus perpusillus (Marsham, 1802)";"Abraeus perpusillus (Marsham, 1802)";Animalia;
"Acanthocinus aedilis (Linnaeus, 1758)";"Acanthocinus aedilis (Linnaeus, 1758)";Animalia;
"Acanthocinus griseus (Fabricius, 1792)";"Acanthocinus griseus (Fabricius, 1792)";Animalia;
"Acanthocinus reticulatus (Razoumowsky, 1789)";"Acanthocinus reticulatus (Razoumowsky, 1789)";Animalia;
"Acaulon casasianum Brugués & H.A.Crum";"Acaulon casasianum Brugués & H.A.Crum";Plantae;
"Acaulon muticum (Hedw.) Müll.Hal., 1847";"Acaulon muticum (Hedw.) Müll.Hal.";Plantae;
"Acaulon muticum (Hedw.) Müll.Hal., 1847";"Acaulon muticum (Hedw.) Müll.Hal., 1847";Plantae;
"Acaulon triquetrum (Spruce) Müll.Hal., 1847";"Acaulon triquetrum (Spruce) Müll.Hal.";Plantae;
"Acaulon triquetrum (Spruce) Müll.Hal., 1847";"Acaulon triquetrum (Spruce) Müll.Hal., 1847";Plantae;
"Accipiter gentilis (Linnaeus, 1758)";"Accipiter gentilis";Animalia;
"Achillea ageratum L., 1753";"Achillea ageratum L., 1753";Plantae;
"Achillea atrata L., 1753";"Achillea atrata L., 1753";Plantae;
"Achillea distans Waldst. & Kit. ex Willd., 1803";"Achillea distans Waldst. & Kit. ex Willd., 1803";Plantae;
"Achillea erba-rotta All., 1773 subsp. erba-rotta";"Achillea erba-rotta subsp. erba-rotta All., 1773";Plantae;
"Achillea erba-rotta subsp. moschata (Wulfen) Vacc., 1909";"Achillea erba-rotta subsp. moschata (Wulfen) Vacc., 1909";Plantae;
"Achillea nobilis L., 1753";"Achillea nobilis L., 1753";Plantae;
"Achillea nobilis L., 1753 subsp. nobilis";"Achillea nobilis subsp. nobilis L., 1753";Plantae;
"Achillea ptarmica L., 1753 subsp. ptarmica";"Achillea ptarmica subsp. ptarmica L., 1753";Plantae;
"Achillea roseo-alba Ehrend., 1959";"Achillea roseo-alba Ehrend., 1959";Plantae;
"Achillea tomentosa L., 1753";"Achillea tomentosa L., 1753";Plantae;
"Acmaeops septentrionis (C. G. Thomson, 1866)";"Acmaeops septentrionis J. Thomson, 1866";Animalia;
"Aconitum lycoctonum subsp. vulparia (Rchb.) Ces., 1844";"Aconitum lycoctonum subsp. vulparia (Rchb.) Nyman, 1889";;
"Aconitum napellus L., 1753";"Aconitum napellus L., 1753";Plantae;
"Aconitum napellus subsp. burnatii (Gáyer) J.-M.Tison, 2010";"Aconitum napellus subsp. burnatii (Gáyer) J.M.Tison, 2010";Plantae;
"Aconitum napellus subsp. vulgare Rouy & Foucaud, 1893";"Aconitum napellus subsp. vulgare Rouy & Foucaud, 1893";Plantae;
"Aconitum variegatum subsp. paniculatum (Arcang.) Negodi, 1944";"Aconitum variegatum subsp. paniculatum (Arcang.) Negodi, 1944";Plantae;
"Koenigia alpina (All.) T.M.Schust. & Reveal, 2015";"Aconogonum alpinum (All.) Schur";;
"Acrida ungarica mediterranea Dirsh, 1949";"Acrida ungarica mediterranea Dirsh, 1949";Animalia;
"Acrocephalus arundinaceus (Linnaeus, 1758)";"Acrocephalus arundinaceus";Animalia;
"Acrocephalus palustris (Bechstein, 1798)";"Acrocephalus palustris";Animalia;
"Acrocephalus schoenobaenus (Linnaeus, 1758)";"Acrocephalus schoenobaenus";Animalia;
"Acrotylus fischeri Azam, 1901";"Acrotylus fischeri Azam, 1901";Animalia;
"Acrotylus fischeri Azam, 1901";"Acrotylus fischeri Azam, 1901";Animalia;
"Acrotylus insubricus insubricus (Scopoli, 1786)";"Acrotylus insubricus insubricus (Scopoli, 1786)";Animalia;
"Actenicerus sjaelandicus (O.F. Müller, 1764)";"Actenicerus sjaelandicus";Animalia;
"Actitis hypoleucos (Linnaeus, 1758)";"Actitis hypoleucos";Animalia;
"Adenocarpus complicatus (L.) J.Gay, 1836 subsp. complicatus";"Adenocarpus complicatus subsp. complicatus (L.) J.Gay, 1836";Plantae;
"Adenocarpus complicatus subsp. parvifolius (DC.) García Adá, G.López & P.Vargas, 1996";"Adenocarpus complicatus subsp. parvifolius García Adá, G.López & P.Vargas, 1996";Plantae;
"Adiantum capillus-veneris L., 1753";"Adiantum capillus-veneris L., 1753";Plantae;
"Adonis aestivalis L., 1762";"Adonis aestivalis L., 1762";Plantae;
"Adonis annua L., 1753 [nom. et typ. cons.]";"Adonis annua L., 1753";Plantae;
"Adonis flammea Jacq., 1776";"Adonis flammea Jacq., 1776";Plantae;
"Adscita geryon (Hübner, 1813)";"Adscita geryon (Hübner, 1813)";Animalia;
"Adscita mannii (Lederer, 1853)";"Adscita mannii (Lederer, 1853)";Animalia;
"Adscita statices (Linnaeus, 1758)";"Adscita statices (Linnaeus, 1758)";Animalia;
"Aegilops triuncialis L., 1753 [nom. et typ. cons.]";"Aegilops triuncialis L., 1753";Plantae;
"Aegolius funereus (Linnaeus, 1758)";"Aegolius funereus";Animalia;
"Aegomorphus francottei Sama, 1994";"Aegomorphus francottei Sama, 1994";Animalia;
"Aegosoma scabricorne (Scopoli, 1763)";"Aegosoma scabricorne (Scopoli, 1763)";Animalia;
"Aegypius monachus (Linnaeus, 1766)";"Aegypius monachus";Animalia;
"Aeletes atomarius (Aubé, 1843)";"Aeletes atomarius (Aubé, 1843)";Animalia;
"Aeropedellus variegatus variegatus (Fischer von Waldheim, 1846)";"Aeropedellus variegatus variegatus (F. von Waldheim, 1846)";Animalia;
"Aesalus scarabaeoides (Panzer, 1795)";"Aesalus scarabaeoides";Animalia;
"Aesalus scarabaeoides (Panzer, 1795)";"Aesalus scarabaeoides (Panzer, 1795)";Animalia;
"Aeshna affinis Vander Linden, 1820";"Aeshna affinis";Animalia;
"Aeshna caerulea (Ström, 1783)";"Aeshna caerulea";Animalia;
"Aeshna cyanea (O.F. Müller, 1764)";"Aeshna cyanea";Animalia;
"Aeshna grandis (Linnaeus, 1758)";"Aeshna grandis";Animalia;
"Aeshna isoceles (O.F. Müller, 1767)";"Aeshna isoceles";Animalia;
"Aeshna juncea (Linnaeus, 1758)";"Aeshna juncea";Animalia;
"Aeshna mixta Latreille, 1805";"Aeshna mixta";Animalia;
"Aethionema saxatile (L.) W.T.Aiton, 1812";"Aethionema saxatile subsp. saxatile (L.) R.Br., 1812";;
"Aglaope infausta (Linnaeus, 1767)";"Aglaope infausta (Linnaeus, 1767)";Animalia;
"Agnathus decoratus (Germar, 1818)";"Agnathus decoratus (Germar, 1818)";Animalia;
"Agriades optilete (Knoch, 1781)";"Agriades optilete (Knoch, 1781)";Animalia;
"Agriades orbitulus (Prunner, 1798)";"Agriades orbitulus (Prunner, 1798)";Animalia;
"Agrilus angustulus (Illiger, 1803)";"Agrilus angustulus (Illiger, 1803)";Animalia;
"Agrilus ater (Linnaeus, 1767)";"Agrilus ater";Animalia;
"Agrilus ater (Linnaeus, 1767)";"Agrilus ater (Linnaeus, 1767)";Animalia;
"Agrilus betuleti Ratzeburg, 1837";"Agrilus betuleti Ratzeburg, 1837";Animalia;
"Agrilus biguttatus (Fabricius, 1777)";"Agrilus biguttatus (Fabricius, 1777)";Animalia;
"Agrilus convexicollis Redtenbacher, 1849";"Agrilus convexicollis Redtenbacher, 1849";Animalia;
"Agrilus cuprescens (Ménétriés, 1832)";"Agrilus cuprescens (Ménétriés, 1832)";Animalia;
"Agrilus curtulus Mulsant & Rey, 1863";"Agrilus curtulus Mulsant & Rey, 1863";Animalia;
"Agrilus cyanescens (Ratzeburg, 1837)";"Agrilus cyanescens (Ratzeburg, 1837)";Animalia;
"Agrilus derasofasciatus Lacordaire, 1835";"Agrilus derasofasciatus Lacordaire, 1835";Animalia;
"Agrilus elegans Mulsant & Rey, 1863";"Agrilus elegans Mulsant & Rey, 1863";Animalia;
"Agrilus graecus Obenberger, 1916";"Agrilus graecus Obenberger, 1916";Animalia;
"Agrilus graminis Kiesenwetter, 1857";"Agrilus graminis Kiesenwetter, 1857";Animalia;
"Agrilus guerini Lacordaire, 1835";"Agrilus guerini";Animalia;
