NOM_SCIENTIFIQUE,ENJEU_CONSERVATION,NOM_MATCHING
"Abies alba Mill., 1768 ",MOY,Abies alba
"Acanthoprasium frutescens (L.) Spenn., 1843 ",FOR,Acanthoprasium frutescens
"Acanthus mollis L., 1753 ",MOY,Acanthus mollis
"Acer campestre L., 1753 ",FAI,Acer campestre
"Acer monspessulanum L., 1753 ",MOY,Acer monspessulanum
"Acer opalus Mill., 1768 ",MOY,Acer opalus
"Acer opalus subsp. obtusatum (Waldst. & Kit. ex  Willd.) Gams, 1924 ",MOY,Acer opalus subsp. obtusatum 
"Acer opalus subsp. opalus Mill., 1768 ",MOY,Acer opalus subsp. opalus 
"Acer platanoides L., 1753 ",MOY,Acer platanoides
"Acer pseudoplatanus L., 1753 ",FAI,Acer pseudoplatanus
"Achillea ageratum L., 1753 ",FOR,Achillea ageratum
"Achillea chamaemelifolia Pourr., 1788 ",FOR,Achillea chamaemelifolia
"Achillea collina (Becker ex Wirtg.) Heimerl, 1883 ",MOY,Achillea collina
"Achillea distans subsp. stricta (Schleich. ex  W.D.J.Koch) Janch., 1941 ",DD,Achillea distans subsp. stricta 
"Achillea distans subsp. tanacetifolia (All.) Janch., 1942 ",MOY,Achillea distans subsp. tanacetifolia 
"Achillea distans Waldst. & Kit. ex Willd., 1803 ",MOY,Achillea distans
"Achillea erba-rotta subsp. erba-rotta All., 1773 ",MOY,Achillea erba-rotta subsp. erba-rotta 
"Achillea ligustica All., 1773 ",MOY,Achillea ligustica
"Achillea macrophylla L., 1753 ",MOY,Achillea macrophylla
"Achillea maritima (L.) Ehrend. & Y.P.Guo, 2005 ",FOR,Achillea maritima
"Achillea millefolium L., 1753 ",FAI,Achillea millefolium
"Achillea nana L., 1753 ",MOY,Achillea nana
"Achillea nobilis L., 1753 ",MOY,Achillea nobilis
"Achillea odorata L., 1759 ",MOY,Achillea odorata
"Achillea ptarmica L., 1753 ",MOY,Achillea ptarmica
"Achillea ptarmica subsp. ptarmica L., 1753 ",MOY,Achillea ptarmica subsp. ptarmica 
"Achillea ptarmica subsp. pyrenaica (Sibth. ex Godr.)  Heimerl, 1884 ",MOY,Achillea ptarmica subsp. pyrenaica 
"Achillea roseo-alba Ehrend., 1959 ",MOY,Achillea roseo-alba
"Achillea tomentosa L., 1753 ",MOY,Achillea tomentosa
"Achnatherum bromoides (L.) P.Beauv., 1812 ",MOY,Achnatherum bromoides
"Achnatherum calamagrostis (L.) P.Beauv., 1812 ",FAI,Achnatherum calamagrostis
"Acis fabrei (Quézel & Girerd) Lledo, A.P.Davis &  M.B.Crespo, 2004 ",TFO,Acis fabrei
"Acis longifolia J.Gay ex M.Roem., 1847 ",FOR,Acis longifolia
"Acis nicaeensis (Ardoino) Lledó, A.P.Davis &  M.B.Crespo, 2004 ",TFO,Acis nicaeensis
"Acis rosea (F.Martin) Sweet, 1829 ",TFO,Acis rosea
"Aconitum anthora L., 1753 ",MOY,Aconitum anthora
"Aconitum lycoctonum L., 1753 ",MOY,Aconitum lycoctonum
"Aconitum lycoctonum subsp. neapolitanum (Ten.)  Nyman, 1878 ",MOY,Aconitum lycoctonum subsp. neapolitanum 
"Aconitum lycoctonum subsp. vulparia (Rchb.) Nyman,  1889 ",MOY,Aconitum lycoctonum subsp. vulparia 
"Aconitum napellus L., 1753 ",MOY,Aconitum napellus
"Aconitum napellus subsp. burnatii (Gáyer) J.-M.Tison,  2010 ",MOY,Aconitum napellus subsp. burnatii 
"Aconitum napellus subsp. corsicum (Gáyer) Seitz,  1969 ",TFO,Aconitum napellus subsp. corsicum 
"Aconitum napellus subsp. vulgare Rouy & Foucaud,  1893 ",MOY,Aconitum napellus subsp. vulgare 
"Aconitum variegatum subsp. paniculatum (Arcang.)  Negodi, 1944 ",MOY,Aconitum variegatum subsp. paniculatum 
"Actaea spicata L., 1753 ",MOY,Actaea spicata
"Adenocarpus complicatus (L.) J.Gay, 1836 ",MOY,Adenocarpus complicatus
"Adenocarpus telonensis (Loisel.) DC., 1815 ",FOR,Adenocarpus telonensis
"Adenostyles alliariae (Gouan) A.Kern., 1871 ",MOY,Adenostyles alliariae
"Adenostyles alpina (L.) Bluff & Fingerh., 1825 ",MOY,Adenostyles alpina
"Adenostyles alpina subsp. briquetii (Gamisans) Tutin,  1975 ",TFO,Adenostyles alpina subsp. briquetii 
"Adenostyles leucophylla (Willd.) Rchb., 1831 ",MOY,Adenostyles leucophylla
"Adiantum capillus-veneris L., 1753 ",MOY,Adiantum capillus-veneris
"Adonis aestivalis L., 1762 ",MOY,Adonis aestivalis
"Adonis annua L., 1753 ",MOY,Adonis annua
"Adonis flammea Jacq., 1776 ",MOY,Adonis flammea
"Adonis pyrenaica DC., 1815 ",FOR,Adonis pyrenaica
"Adonis vernalis L., 1753 ",MOY,Adonis vernalis
"Adoxa moschatellina L., 1753 ",MOY,Adoxa moschatellina
"Aegilops geniculata Roth, 1797 ",MOY,Aegilops geniculata
"Aegilops neglecta Req. ex Bertol., 1835 ",MOY,Aegilops neglecta
"Aegilops triuncialis L., 1753 ",MOY,Aegilops triuncialis
"Aegilops ventricosa Tausch, 1837 ",FOR,Aegilops ventricosa
"Aegopodium podagraria L., 1753 ",MOY,Aegopodium podagraria
"Aeluropus littoralis (Gouan) Parl., 1850 ",MOY,Aeluropus littoralis
"Aethionema monospermum R.Br., 1812 ",FOR,Aethionema monospermum
"Aethionema saxatile (L.) R.Br., 1812 ",MOY,Aethionema saxatile
"Aethionema thomasianum J.Gay, 1845 ",MOY,Aethionema thomasianum
"Aethusa cynapium L., 1753 ",MOY,Aethusa cynapium
"Aethusa cynapium subsp. cynapium L., 1753 ",DD,Aethusa cynapium subsp. cynapium 
"Aethusa cynapium subsp. elata (Friedl.) Schübl. &  G.Martens, 1834 ",DD,Aethusa cynapium subsp. elata 
"Agrimonia eupatoria L., 1753 ",FAI,Agrimonia eupatoria
"Agrimonia eupatoria subsp. eupatoria L., 1753 ",DD,Agrimonia eupatoria subsp. eupatoria 
"Agrimonia eupatoria subsp. grandis (Andrz. ex Asch.  & Graebn.) Bornm., 1940 ",DD,Agrimonia eupatoria subsp. grandis 
"Agrimonia procera Wallr., 1840 ",MOY,Agrimonia procera
"Agropyron cristatum subsp. pectinatum (M.Bieb.)  Tzvelev, 1970 ",FOR,Agropyron cristatum subsp. pectinatum 
"Agrostemma githago L., 1753 ",MOY,Agrostemma githago
"Agrostis alpina Scop., 1771 ",MOY,Agrostis alpina
"Agrostis canina L., 1753 ",MOY,Agrostis canina
"Agrostis capillaris L., 1753 ",MOY,Agrostis capillaris
"Agrostis castellana Boiss. & Reut., 1842 ",MOY,Agrostis castellana
"Agrostis gigantea Roth, 1788 ",MOY,Agrostis gigantea
"Agrostis marysae-tortiae Portal, 2009 ",TFO,Agrostis marysae-tortiae
"Agrostis rupestris All., 1785 ",MOY,Agrostis rupestris
"Agrostis schleicheri Jord. & Verl., 1855 ",MOY,Agrostis schleicheri
"Agrostis schraderiana Bech., 1938 ",MOY,Agrostis schraderiana
"Agrostis stolonifera L., 1753 ",MOY,Agrostis stolonifera
"Agrostis vinealis Schreb., 1771 ",MOY,Agrostis vinealis
"Agrostis vinealis subsp. ericetorum (Préaub. &  Bouvet) Valdés & H.Scholz, 2006 ",MOY,Agrostis vinealis subsp. ericetorum 
"Agrostis vinealis subsp. vinealis Schreb., 1771 ",MOY,Agrostis vinealis subsp. vinealis 
"Aira armoricana F.Albers, 1979 ",DD,Aira armoricana
"Aira caryophyllea L., 1753 ",DD,Aira caryophyllea
"Aira cupaniana Guss., 1843 ",MOY,Aira cupaniana
"Aira elegantissima Schur, 1853 ",MOY,Aira elegantissima
"Aira multiculmis Dumort., 1824 ",DD,Aira multiculmis
"Aira praecox L., 1753 ",MOY,Aira praecox
"Aira provincialis Jord., 1852 ",TFO,Aira provincialis
"Aira tenorei Guss., 1827 ",MOY,Aira tenorei
"Airopsis tenella (Cav.) Asch. & Graebn., 1899 ",FOR,Airopsis tenella
"Ajuga chamaepitys (L.) Schreb., 1773 ",MOY,Ajuga chamaepitys
"Ajuga genevensis L., 1753 ",MOY,Ajuga genevensis
"Ajuga iva (L.) Schreb., 1773 ",MOY,Ajuga iva
"Ajuga pyramidalis L., 1753 ",MOY,Ajuga pyramidalis
"Ajuga reptans L., 1753 ",FAI,Ajuga reptans
"Alcea biennis Winterl, 1788 ",MOY,Alcea biennis
"Alcea rosea L., 1753 ",MOY,Alcea rosea
