"CD_NOM";"NOM_VALIDE";"NOM_CITE";"ENJEU_CONSERVATION"
79319;"Abies alba";"Abies alba Mill., 1768 ";"MOY"
79716;"Acanthoprasium frutescens";"Acanthoprasium frutescens (L.) Spenn., 1843 ";"FOR"
79721;"Acanthus mollis";"Acanthus mollis L., 1753 ";"MOY"
NA;"Acericecis campestre";"Acer campestre L., 1753 ";"FAI"
79763;"Acer monspessulanum";"Acer monspessulanum L., 1753 ";"MOY"
79770;"Acer opalus";"Acer opalus Mill., 1768 ";"MOY"
130714;"Acer opalus subsp. obtusatum";"Acer opalus subsp. obtusatum (Waldst. & Kit. ex  Willd.) Gams, 1924 ";"MOY"
130715;"Acer opalus subsp. opalus";"Acer opalus subsp. opalus Mill., 1768 ";"MOY"
79779;"Acer platanoides";"Acer platanoides L., 1753 ";"MOY"
79783;"Acer pseudoplatanus";"Acer pseudoplatanus L., 1753 ";"FAI"
79865;"Achillea ageratum";"Achillea ageratum L., 1753 ";"FOR"
79874;"Achillea chamaemelifolia";"Achillea chamaemelifolia Pourr., 1788 ";"FOR"
896277;"Achillea collina";"Achillea collina (Becker ex Wirtg.) Heimerl, 1883 ";"MOY"
612382;"Achillea distans subsp. stricta";"Achillea distans subsp. stricta (Schleich. ex  W.D.J.Koch) Janch., 1941 ";"DD"
130726;"Achillea distans subsp. tanacetifolia";"Achillea distans subsp. tanacetifolia (All.) Janch., 1942 ";"MOY"
79886;"Achillea distans";"Achillea distans Waldst. & Kit. ex Willd., 1803 ";"MOY"
130728;"Achillea erba-rotta subsp. erba-rotta";"Achillea erba-rotta subsp. erba-rotta All., 1773 ";"MOY"
79903;"Achillea ligustica";"Achillea ligustica All., 1773 ";"MOY"
79905;"Achillea macrophylla";"Achillea macrophylla L., 1753 ";"MOY"
610735;"Achillea maritima";"Achillea maritima (L.) Ehrend. & Y.P.Guo, 2005 ";"FOR"
79908;"Achillea millefolium";"Achillea millefolium L., 1753 ";"FAI"
79913;"Achillea nana";"Achillea nana L., 1753 ";"MOY"
79914;"Achillea nobilis";"Achillea nobilis L., 1753 ";"MOY"
79915;"Achillea odorata";"Achillea odorata L., 1759 ";"MOY"
79921;"Achillea ptarmica";"Achillea ptarmica L., 1753 ";"MOY"
130749;"Achillea ptarmica subsp. ptarmica";"Achillea ptarmica subsp. ptarmica L., 1753 ";"MOY"
130750;"Achillea ptarmica subsp. pyrenaica";"Achillea ptarmica subsp. pyrenaica (Sibth. ex Godr.)  Heimerl, 1884 ";"MOY"
79923;"Achillea roseo-alba";"Achillea roseo-alba Ehrend., 1959 ";"MOY"
