"CD_NOM";"NOM_VALIDE.x";"NOM_CITE";"ENJEU_CONSERVATION";"REGNE";"PHYLUM";"CLASSE";"ORDRE";"FAMILLE";"SOUS_FAMILLE";"TRIBU";"GROUP1_INPN";"GROUP2_INPN";"GROUP3_INPN";"CD_TAXSUP";"CD_SUP";"CD_REF";"CD_BA";"RANG";"LB_NOM";"LB_AUTEUR";"NOMENCLATURAL_COMMENT";"NOM_COMPLET";"NOM_COMPLET_HTML";"NOM_VALIDE.y";"NOM_VERN";"NOM_VERN_ENG";"HABITAT";"FR";"GF";"MAR";"GUA";"SM";"SB";"SPM";"MAY";"EPA";"REU";"SA";"TA";"TAAF";"PF";"NC";"WF";"CLI";"URL";"URL_INPN"
1002536;"Acericecis campestre";"Acer campestre L., 1753 ";"FAI";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;"NOMATCH";"Anemone pulsatilla subsp. bogenhardtiana (Rchb.)  Rouy & Foucaud, 1893 ";"FOR";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;"NOMATCH";"Aquilegia bernardii Gren., 1847 ";"FOR";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;"NOMATCH";"Arctostaphylos alpinus (L.) Spreng., 1825 ";"MOY";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
463893;"Uromyces arenariae-grandiflorae";"Arenaria grandiflora L., 1759 ";"MOY";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
464810;"Puccinia asperulae-cynanchicae";"Asperula cynanchica L., 1753 ";"MOY";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;"NOMATCH";"Astragalus monspessulanus subsp. gypsophilus Rouy ";"MOY";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;"NOMATCH";"Bellis bernardii Boiss. & Reut., 1852 ";"TFO";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
868794;"Ramularia campanulae-latifoliae";"Campanula latifolia L., 1753 ";"MOY";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
868487;"Septoria cephalariae-alpinae";"Cephalaria alpina (L.) Schrad. ex Roem. & Schult.,  1818 ";"MOY";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;"NOMATCH";"Cerastium semidecandrum subsp. semidecandrum L.,  1753 ";"DD";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
